palavra,polaridade,tipo
abandono,-1.9,
abandonar,-2.0,
abandonador,-1.9,
abandonar,-1.9,
abandonar,-1.6,
abandonar,-1.3,
sequestrar,-2.3,
abducao,-2.8,
abducoes,-2.0,
abominar,-2.0,
aborrecer,-2.4,
abominavel,-3.1,
abominar,-2.9,
habilidade,1.0,
habilidade,1.3,
a bordo,0.1,TERM
ausente,-1.1,
ausente,-0.8,
absolver,1.2,
absolver,1.5,
absoluto,1.3,
absolver,1.6,
abuso,-3.2,
abusar,-2.3,
abusador,-2.6,
abusador,-2.6,
abuso,-2.6,
abusar,-2.0,
abusivo,-3.2,
abusivamente,-2.8,
abusividade,-2.5,
abusividade,-3.0,
aceitar,1.6,
aceitabilidade,1.6,
Aceitavel,1.3,
aceitavelmente,1.5,
aceitacao,2.0,
aceitacoes,1.7,
aceitar,1.1,
aceitar,1.6,
aceitar,1.3,
acidente,-2.1,
acidental,-0.3,
acidentalmente,-1.4,
acidente,-1.3,
realizar,1.8,
realizar,1.9,
realizar,1.7,
acusacao,-1.0,
acusacoes,-1.3,
acusar,-0.8,
acusar,-1.2,
acusar,-1.4,
acusar,-0.7,
dor,-1.6,
doia,-1.6,
dor,-1.0,
possivel,1.3,
doer,-2.2,
absolver,0.1,
acrimoniosar,-1.7,
ativo,1.7,
ativamente,1.3,
atividade,0.6,
atividade,0.8,
ativo,1.1,
adequado,0.9,
admirabilidade,2.4,
admiravel,2.6,
admiravelmente,2.5,
almirante,1.3,
almirante,1.5,
admirador,1.6,
admirar,1.2,
admiracao,2.5,
admiracoes,1.6,
admirar,2.1,
admirador,1.8,
admirar,1.5,
admirar,1.6,
com admiracao,2.3,TERM
admitir,0.8,
admitir,1.2,
admitir,0.4,
admoestar,-1.9,
adotar,0.7,
adotar,0.7,
Adorabilidade,2.2,
adoravel,2.2,
muito adoravel,2.1,TERM
adoracaar,2.9,
adoracoe,2.2,
adorar,2.6,
adorar,1.8,
adorar,1.6,
adoravelmente,2.4,
adornar,0.9,
adornar,0.8,
adorno,1.3,
adorno,0.9,
adornar,1.0,
adornar,0.5,
avancar,1.0,
vantagem,1.0,
vantajoso,1.4,
vantajosamente,1.9,
vantagem,1.5,
aventura,1.3,
aventurar,1.3,
aventureiro,1.2,
aventureiro,0.9,
aventuras,1.4,
aventurador,1.3,
aventureiro,0.8,
aventureiramente,1.3,
aventureza,1.8,
adversario,-1.5,
adversario,-1.0,
adversativo,-1.2,
adversamente,-0.1,
adversidade,-1.0,
desfavoravel,-1.5,
adversidade,-0.6,
afetar,-0.6,
afeicao,2.4,
afetivo,1.9,
carinhosamente,1.5,
afetuoso,1.9,
carinhoso,1.8,
Afeccoes,1.5,
afliger,-1.5,
ofender,0.2,
agravar,-2.5,
agravar,-1.9,
agrar,-1.9,
agravante,-1.2,
agressaor,-1.3,
