palavra,polaridade,tipo
abandono,-1.7,TBD
abandonado,-2.0,TBD
abandonador,-1.9,TBD
abandonados,-1.9,TBD
abandonando,-1.6,TBD
abandona,-1.3,TBD
sequestrou,-2.3,TBD
abducao,-2.8,TBD
abducoes,-2.0,TBD
abominar,-2.0,TBD
aborrecido,-1.4,TBD
abominavel,-3.1,TBD
abomina,-2.9,TBD
habilidades,1.0,TBD
habilidade,1.3,TBD
a bordo,0.1,TBD
ausente,-1.1,TBD
ausentes,-0.8,TBD
absolver,0.8,TBD
absolvido,1.0,TBD
absolutos,1.3,TBD
absolvendo,1.3,TBD
abuso,-3.2,TBD
abusado,-2.3,TBD
abusador,-2.6,TBD
abusadores,-2.6,TBD
abusos,-2.6,TBD
abusando,-2.0,TBD
abusivo,-3.2,TBD
abusivamente,-2.8,TBD
abusividade,-2.5,TBD
abusividades,-3.0,TBD
aceitar,1.6,TBD
aceitabilidade,1.3,TBD
aceitavel,1.6,TBD
aceitavelmente,1.5,TBD
aceitacao,1.3,TBD
aceitacoes,0.9,TBD
aceitaram,1.1,TBD
aceitando,1.6,TBD
aceita,1.5,TBD
acidente,-2.4,TBD
acidental,-0.3,TBD
acidentalmente,-0.9,TBD
acidentes,-1.3,TBD
realizar,1.8,TBD
realizado,1.9,TBD
realiza,1.7,TBD
acusacao,-1.0,TBD
acusacoes,-1.3,TBD
acusar,-0.8,TBD
acusado,-1.2,TBD
acusa,-1.4,TBD
acusando,-0.7,TBD
dor,-2.3,TBD
doia,-1.6,TBD
dores,-1.8,TBD
possivel,1.3,TBD
doendo,-2.2,TBD
absolve,0.1,TBD
acrimonioso,-1.7,TBD
ativo,1.7,TBD
ativamente,1.3,TBD
atividade,0.6,TBD
atividades,0.8,TBD
ativos,0.7,TBD
adequado,0.9,TBD
admirabilidade,2.2,TBD
admiravel,2.6,TBD
admiravelmente,2.5,TBD
almirante,1.3,TBD
almirantes,1.5,TBD
admiradores,1.7,TBD
admirado,2.3,TBD
admiracao,2.5,TBD
admiracoes,1.6,TBD
admirar,2.1,TBD
admirador,1.8,TBD
admira,1.5,TBD
admirando,1.6,TBD
com admiracao,2.3,TBD
admitem,0.8,TBD
admite,1.2,TBD
admitiu,0.4,TBD
admoestado,-1.9,TBD
adotar,0.7,TBD
adota,0.7,TBD
adorabilidade,2.5,TBD
adoravel,2.2,TBD
muito adoravel,2.1,TBD
adoracao,1.6,TBD
adoracoes,2.2,TBD
adorar,2.6,TBD
adorado,2.7,TBD
adora,1.6,TBD
adoravelmente,2.4,TBD
adornar,0.9,TBD
adornado,0.8,TBD
adorno,1.3,TBD
adornos,0.8,TBD
adornando,1.0,TBD
adorna,0.5,TBD
avancado,1.0,TBD
vantagem,1.0,TBD
vantajoso,1.6,TBD
vantajosamente,1.9,TBD
vantagens,1.5,TBD
aventura,1.3,TBD
aventurado,1.3,TBD
aventureiro,1.4,TBD
aventureiros,1.2,TBD
aventuras,2.3,TBD
aventurador,1.3,TBD
aventureira,0.8,TBD
aventureiramente,1.3,TBD
aventureza,1.8,TBD
adversario,-0.8,TBD
adversarios,-1.0,TBD
adversativo,-1.2,TBD
adversamente,-0.8,TBD
adversidades,-1.5,TBD
desfavoraveis,-1.5,TBD
adversidade,-1.8,TBD
afetado,-0.6,TBD
afeicao,2.4,TBD
afetivo,1.9,TBD
carinhosamente,1.4,TBD
afetuoso,1.9,TBD
carinhoso,-2.0,TBD
afeccoes,1.5,TBD
afligido,-1.4,TBD
ofendido,-1.0,TBD
agravar,-2.5,TBD
agravado,-1.9,TBD
agrava,-1.9,TBD
agravante,-1.2,TBD
agressao,-1.2,TBD
agressivo,-0.6,TBD
agressoes,-1.3,TBD
agredindo,-0.6,TBD
agressivamente,-1.3,TBD
agressividade,-0.6,TBD
agressividades,-1.4,TBD
agressor,-0.8,TBD
agressores,-0.9,TBD
horrorizado,-2.5,TBD
agitar,-1.3,TBD
agitado,0.3,TBD
com agitacao,-1.6,TBD
agita,-1.4,TBD
agitando,-1.8,TBD
agitacao,-1.0,TBD
agitacoes,-1.3,TBD
agitativo,-1.3,TBD
agitador,-1.4,TBD
agitadores,0.3,TBD
agog,1.9,TBD
agonizar,-2.3,TBD
agonizante,-2.7,TBD
agoniza,-2.3,TBD
agonizantemente,-2.3,TBD
agonia,-1.8,TBD
conveniencia,1.8,TBD
agradavel,2.4,TBD
conveniencias,1.3,TBD
agradavelmente,2.1,TBD
acordado,1.1,TBD
concordando,1.4,TBD
acordo,2.2,TBD
acordos,1.1,TBD
concorda,0.8,TBD
alarme,-1.4,TBD
alarmado,-1.4,TBD
alarmante,-0.5,TBD
alarmantemente,-2.6,TBD
alarmismo,-0.3,TBD
alarmistas,-1.1,TBD
alarmes,-1.1,TBD
infelizmente,-1.9,TBD
alerta,1.2,TBD
alienacao,-1.1,TBD
vivo,1.6,TBD
alergico,-1.2,TBD
permitir,0.9,TBD
sozinho,-1.0,TBD
bem,1.1,TBD
surpreender,-0.5,TBD
espantado,2.2,TBD
surpreendentemente,1.2,TBD
espanto,2.2,TBD
espanta,2.2,TBD
surpreendente,1.1,TBD
amazonia,0.7,TBD
amazonite,0.2,TBD
amazonas,-0.1,TBD
pedra amazonica,1.0,TBD
pedras amazonicas,0.2,TBD
ambicioso,2.1,TBD
ambivalente,0.5,TBD
amor,3.2,TBD
amoral,-1.6,TBD
amoralismo,-0.7,TBD
amoralismos,-0.7,TBD
amoralidades,-1.2,TBD
amoralidade,-1.5,TBD
amoralmente,-1.0,TBD
