mais louco	-1.3	1.1	[-3, -2, -2, 1, -2, -2, -1, 0, -1, -1]
mais malvado	-1.6	1.0198	[-2, -3, -3, -3, -1, -1, -1, 0, -1, -1]
proibindo	-1.9	0.7	[-3, -1, -1, -2, -2, -1, -3, -2, -2, -2]
proibidamente	-1.9	0.53852	[-2, -1, -2, -2, -2, -2, -3, -2, -1, -2]
proibe	-1.3	0.45826	[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]
forcado	-2.0	0.63246	[-1, -2, -3, -3, -1, -2, -2, -2, -2, -2]
encerramento	-0.5	1.43178	[-1, -2, -3, 2, -1, 1, -1, 0, 1, -1]
foreclosures	-2.4	0.66332	[-3, -2, -3, -2, -3, -3, -1, -2, -2, -3]
perdoou	1.4	0.91652	[2, 2, 1, 2, 1, -1, 1, 2, 2, 2]
esqueco	-0.9	0.53852	[-1, -1, -1, -1, 0, -1, -1, 0, -2, -1]
esquecido	-1.1	1.3	[-3, -1, -2, 1, 0, -2, 1, -1, -2, -2]
perdoavel	1.7	0.64031	[2, 1, 2, 1, 2, 2, 1, 2, 3, 1]
perdoavel	1.6	0.66332	[1, 1, 2, 1, 2, 2, 1, 2, 3, 1]
perdoar	1.1	1.22066	[2, 1, 1, 3, 1, 1, 1, 2, -2, 1]
aindamais louco	-1.3	1.1	[-3, -2, -2, 1, -2, -2, -1, 0, -1, -1]
ain mai malvado	-1.6	1.0198	[-2, -3, -3, -3, -1, -1, -1, 0, -1, -1]
>:[	-2.1	0.53852	[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]
:-[	-1.6	0.4899	[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]
>:\	-1.7	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]
>_>^	2.1	0.9434	[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]
@:	-2.1	0.9434	[-3, -2, -3, -1, -2, -4, -1, -2, -1, -2]
@>-->--	2.1	1.22066	[1, 1, 0, 2, 4, 2, 4, 2, 3, 2]
@}-;-'---	2.2	1.32665	[0, 1, 3, 2, 1, 4, 4, 1, 3, 3]
hho1/2k	1.4	1.11355	[1, -1, 2, 3, 1, 1, 1, 2, 3, 1]
bem-aventuranca	1.6	1.35647	[2, 2, 2, 2, 2, 3, 3, -1, -1, 2]
